height,weight
185.5,73.2
167.2,65.1
179.9,93.2
171.4,71.6
176.9,67.1
180.5,114.2
180.4,76.5
173.9,53
178.7,69.7
180.5,114.2
173.1,95.3
178.5,78.7
172.6,58.6
170.7,66.7
175,77.8
175.8,77.8
182.9,80.4
169.3,54.6
177.4,69
168.3,59.1
173.4,63.8
173.2,74.6
180.1,90.4
172.4,67.8
186.8,103.3
175.6,68.1
176.3,80.6
180.7,69
175.3,59.2
177.7,55.5
171.7,65.1
178.9,78
184.1,75
173.9,66.7
185.1,83.2
172.2,70.1
179.3,69.8
179.3,65.2
176.8,75.3
178.5,68.8
178.7,69.7
178.1,66.1
169.2,75.8
168.6,66.5
179.9,65.1
179.1,88.4
178.9,58.8
174.5,53.1
168.5,49.5
169.2,102.4
167.2,76.8
171.7,62.7
175.3,85
173.6,79
169.5,57.7
182.4,76.8
174.4,83.3
176.5,72.9
179.7,66.2
175.8,67.4
181.5,70.9
175.7,72.2
174.3,75.7
177.8,85.1
184.1,65.1
174.5,61.9
179.7,68.5
169.8,62.9
179.4,60.5
175,55
171,64.9
171,63.9
182.9,80.4
163.1,62.5
168,57.9
174.2,64.1
175.7,84.4
175,103.5
176,78.9
181.8,77.3
172.5,67.6
178.1,59.8
183,71.8
178.7,60.6
181.6,74.4
180.2,66.9
175,75
166.3,60.6
178.4,62.6
170.4,65.7
176.7,62.5
163.6,43.3
182.4,68.2
172.3,61.8
168.4,57.6
170.5,61
170.3,60
167.2,68.7
167.3,46.8
172.3,77.7
168.2,71.3
174.1,89.1
175.7,81.8
176,96.6
186.1,101.7
170.6,69.8
171.9,60.1
183.2,60.2
176.2,58.6
180.6,61.3
173.6,64.9
167.1,53
167.1,93.5
177.6,56.7
178.6,73.8
175.4,66.2
176.8,60.9
168.3,65.8
178.2,70.6
183.7,94.7
169.1,77.8
168.3,63.3
179,79.7
171.1,69.7
176.6,80.2
164.9,46.6
174.9,86.4
180.1,98.5
174.7,57.3
180.4,61.2
174.6,67
160.6,69.8
178.1,72.1
165,49.3
171.7,60.8
166.6,76.6
178,58.1
180.3,113.4
173.4,64.6
179.3,73.5
179.6,64.7
172.7,54.9
165,63.4
168,65.9
175.1,71.9
176.2,67.3
182.3,78.4
164.1,51.8
173.5,71.7
166.1,62.4
183.5,76.7
177.8,99.9
178.8,66.6
184,73.9
173.5,69.2
180.5,74.2
177.2,70.3
168.3,81.8
175.4,57.1
169.6,65.2
168.2,68.6
173.9,51
171.1,63.5
167.2,74.4
170,60.8
165.9,52.5
167.1,62.5
173.6,77.6
173.2,63.1
166.1,67.3
168.7,65.1
177.8,76.5
171.8,74.9
166.4,59.1
171.7,66.8
166.6,74.8
174,66.3
171.9,56.3
173.5,64.2
173.6,76.8
175,59.8
182.8,89.7
169.6,73.9
173.7,86.2
177.7,69.5
171.4,63.1
179.9,68.7
175,98.5
172.1,60.6
173.9,57.4
166.3,57.4
169.7,73.1
173.6,76.6
173,72
171,60.1
171.5,80.5
180.1,68.8
167.1,54.6
173.3,67.8
160.9,57.1
173.3,71.6
170.4,81.1
175.6,70.6
175.3,73.2
179.9,79.7
174.7,74.5
181,73
168.2,59.9
